shelfmark,pages,label,title,author,date,language,subject,description,other_metadata
Pal.lat.1199,110,Pal.lat.1199,Codice miscellaneo (medicina),Cancellarius Montispessulani; Magister Plauensis,1350-1400,Latino,,,Shelfmark: Pal.lat.1199
Pal.lat.1198,596,Pal.lat.1198,Liber medcinalis,,1565,Latino,,,Shelfmark: Pal.lat.1198
Pal.lat.1200,258,Pal.lat.1200,Codice miscellaneo (medicina),Petrus <Hispanus>; Johannes <de Parma>; Paulinus; Arnoldus <de Villa Nova>,1400,Latino,,,Shelfmark: Pal.lat.1200
Pal.lat.1201,270,Pal.lat.1201,Temi di disputa degli artisti 1537-1538,,1535-1538,Latino,,,Shelfmark: Pal.lat.1201
Pal.lat.1202,758,Pal.lat.1202,Zusammengesetzte Handschrift (Medizin-Philosophie),"Knab, Erhardus; Hugo de Trajecto; Aegidius <Romanus>; Bartholomaeus <de Brugis>; Petrus <de Alliaco>; Guilhelmus de Occam",1458-1466 ; 2. Hälfte 14. Jh ; 1. Hälfte 15. Jh. ; 1410,,,,"Shelfmark: Pal.lat.1202 | Place: Heidelberg (I) , Frankreich (II) , Burgund (IV)"
Pal.lat.1203,406,Pal.lat.1203,Commenti agli aforismi di Ippocrate,,1430-1460,Latino,,,Shelfmark: Pal.lat.1203
Pal.lat.1204,316,Pal.lat.1204,Manoscritto composito,"Hemmerlin, Felix; Johannes Egen alias Pleniger (senior)",Sec. XV-XVI,Latino,,,Shelfmark: Pal.lat.1204
Pal.lat.1206,224,Pal.lat.1206,Diaetae universales ; Diaetae particulares,"Isrāʾīlī, Isḥāq Ibn-Sulaimān al- (Isaac Iudaeus)",2. Hälfte 13. Jh,,,,Shelfmark: Pal.lat.1206
Pal.lat.1205,332,Pal.lat.1205,Codice miscellaneo (medicina),"Arnoldus praepositus Sancti Jacobi; Arnoldus <de Villa Nova>; Maimonides, Moses; Jacoby, Johannes; Gentilis <de Fulgineo>; Costofferus; Auicenna; Bernardus <de Gordonio>; Magninus <Mediolanensis>",1450-1500,Latino,,,Shelfmark: Pal.lat.1205
Pal.lat.1207,314,Pal.lat.1207,Medizinische Sammelhandschrift,Gerhard <von Hohenkirchen>; Albertus <de Saxonia>,1425-1447,,,,Shelfmark: Pal.lat.1207 | Place: Heidelberg
Pal.lat.1553,174,Pal.lat.1553,Sammelhandschrift,"Seneca, Lucius Annaeus <Philosophus>",14.-15. Jh.,,,,Shelfmark: Pal.lat.1553 | Place: Italien
Pal.lat.1552,542,Pal.lat.1552,Codice miscellaneo,"Petrarca, Francesco ; Ps.-Cicero; Aretinus, Leonardus Brunus; Poggio Bracciolini, Gian Francesco; Guarinus <Veronensis>; Lucianus <Samosatensis>",Sec. XV,Latino,,,Shelfmark: Pal.lat.1552
Pal.lat.1549,208,Pal.lat.1549,Sammelhandschrift,"Seneca, Lucius Annaeus (Philosophus)",13. Jh.,,,,Shelfmark: Pal.lat.1549 | Place: Frankreich
Pal.lat.1554,240,Pal.lat.1554,Opera,"Seneca, Lucius Annaeus <Philosophus>",15. Jh.,,,,Shelfmark: Pal.lat.1554 | Place: Italien
Pal.lat.1555,328,Pal.lat.1555,Institutio oratoria,"Quintilianus, Marcus Fabius",Sec. XV,Latino,,,Shelfmark: Pal.lat.1555
Pal.lat.1550,191,Pal.lat.1550,Epistulae,"Seneca, Lucius Annaeus (Philosophus)",12. Jh.,,,,Shelfmark: Pal.lat.1550 | Place: Frankreich
Pal.lat.1551,183,Pal.lat.1551,Epistulae,"Seneca, Lucius Annaeus (Philosophus); Ps.-Phalaris",12. Jh. ; 15. Jh.,,,,"Shelfmark: Pal.lat.1551 | Place: Frankreich , Italien"
Pal.lat.1556,470,Pal.lat.1556,Institutio oratoria,"Quintilianus, Marcus Fabius",15. Jh.,,,,Shelfmark: Pal.lat.1556 | Place: Italien
Pal.lat.1557,338,Pal.lat.1557,Institutio oratoria,"Quintilianus, Marcus Fabius",15. Jh.,,,,Shelfmark: Pal.lat.1557 | Place: Italien
Pal.lat.1558,290,Pal.lat.1558,Declamationes minores,"Quintilianus, Marcus Fabius",Sec. XV-XVI,Latino,,,Shelfmark: Pal.lat.1558
Pal.lat.1560,527,Pal.lat.1560,Annotationes in secundum librum Plinii; Lectio In secundam partem secundi libri Plinii de meteoris,"Eber, Paul",1556-1557,lat,,,Shelfmark: Pal.lat.1560 | Place: Wittenberg
Pal.lat.1559,734,Pal.lat.1559,"Naturalis historia ; Plinius Secundus, Gaius",,Sec. XV,Latino,,,Shelfmark: Pal.lat.1559
Pal.lat.1562,278,Pal.lat.1562,De architectura,Vitruvius,15. Jh.,,,,Shelfmark: Pal.lat.1562 | Place: Italien
Pal.lat.1561,284,Pal.lat.1561,"Epistulae (I-VII, IX)","Plinius Secundus, Gaius",Sec. XV,Latino,,,Shelfmark: Pal.lat.1561
Pal.lat.1563,290,Pal.lat.1563,De architectura ; Strategemata,"Vitruvius ; Frontinus, Sextus Iulius",Sec. XV,Latino,,,Shelfmark: Pal.lat.1563
